post_id,text,comment_time,from_id,clean_text,keyword_i,mood
1155082,фамилия набиулин..один я читаю всегда наебулин?,1592546785,423137420,фамилия набиулинодин я читаю всегда наебулин,0,-0.16347201028838754
1155082,А можно мне тоже что нибудь у них попросить?,1592546958,58293669,а можно мне тоже что нибудь у них попросить,0,-0.06529483897611499
1155082,А можно и людям под 2%??,1592547716,155406182,а можно и людям под 2,0,0.0007201452972367406
1155082,Ну я в принципе не против 😏,1592547738,51483729,ну я в принципе не против 😏,0,-0.3166225031018257
1155082,О поддержке трудящихся тоже не стоит забывать. В поправках к Конституции есть положение приравнять МРОТ к прожиточному минимуму. Мне кажется это куда важнее.,1592548294,353046786,о поддержке трудящихся тоже не стоит забывать в поправках к конституции есть положение приравнять мрот к прожиточному минимуму мне кажется это куда важнее,0,-0.11571281962096691
1155082,В диалоге замечено присутствие кремлеботов!,1592548922,118070728,в диалоге замечено присутствие кремлеботов,0,-0.3349408060312271
1155082,"Говорящая голова опять делает вид, что печется за бизнес",1592551945,599555829,говорящая голова опять делает вид что печется за бизнес,0,-0.2787904217839241
1155082,"даже не пытаются как то сделать паузу ,хотя бы не бесчинствовать до поправок!!",1592553717,231650964,даже не пытаются как то сделать паузу хотя бы не бесчинствовать до поправок,0,-0.6393010830506682
1155082,🤣🤦‍♂️,1592631707,16951804,🤣🤦‍♂️,0,0.0018102114117937163
1597474,Потому что,1663561055,209726788,потому что,0,-0.04603391008276958
1843239,Мелочь а приятно...,1687440516,290756325,мелочь а приятно,0,0.8438908131793141
1843239,"Всё что выведено из России, финансирует ее врагов и работает против России. Вредная колониальная теория грабежа рабских стран через валютные резервы продолжает действовать.",1687441888,710313517,всё что выведено из россии финансирует ее врагов и работает против россии вредная колониальная теория грабежа рабских стран через валютные резервы продолжает действовать,0,-0.28096456080675125
974891,Ростовщики рулят колонией РФ Ресурсной Федерации,1568317603,222766319,ростовщики рулят колонией рф ресурсной федерации,0,0.15473849326372147
974891,Хоть кто-нибудь получил по страховке полагающуюся сумму? Напоминает МММ,1568318455,554130525,хоть ктонибудь получил по страховке полагающуюся сумму напоминает ммм,0,0.0
974891,"Новоизбранные депутаты Мосгордумы, поддержанные «Умным голосованием», приняли первое совместное заявление. В нём они потребовали отправить в отставку главу МГИКа Валентина Горбунова, закрыть сфабрикованные дела, освободить политзаключённых, отменить результаты электронного голосования и расследовать коррупцию в московских и федеральных органах власти. 
 
Подробности — в посте московского штаба: 
. 
Команда Навального | Москва 
вчера в 20:58 
Новое достижение «Умного голосования»: избранные москвичами, а не Собяниным, депутаты Мосгордумы потребовали: 
 
— отправить главу Мосгоризбиркома Валентина Горбунова в отставку; 
— освободить всех незаконно осуждённых за участие в мирных акциях протеста; 
— провести расследования о коррупции в мэрии; 
— отменить результаты электронного голосования. 
 
Первыми это заявление выпустили даже не депутаты Яблока, а КПРФ. Мы надеемся, что новые московские депутаты и дальше будут защищать интересы горожан. 
 
Против репрессий, против произвола, против коррупции, за москвичей. Первое заявление избранных депут 
navalny.com",1568319345,478627854,новоизбранные депутаты мосгордумы поддержанные «умным голосованием» приняли первое совместное заявление в нём они потребовали отправить в отставку главу мгика валентина горбунова закрыть сфабрикованные дела освободить политзаключённых отменить результаты электронного голосования и расследовать коррупцию в московских и федеральных органах власти    подробности — в посте московского штаба    команда навального  москва  вчера в 2058  новое достижение «умного голосования» избранные москвичами а не собяниным депутаты мосгордумы потребовали    — отправить главу мосгоризбиркома валентина горбунова в отставку  — освободить всех незаконно осуждённых за участие в мирных акциях протеста  — провести расследования о коррупции в мэрии  — отменить результаты электронного голосования    первыми это заявление выпустили даже не депутаты яблока а кпрф мы надеемся что новые московские депутаты и дальше будут защищать интересы горожан    против репрессий против произвола против коррупции за москвичей первое заявление избранных депут  navalnycom,0,-0.12407968565821648
1212464,"По многочисленным просьбам трудящихся — Путин принял решение до назначенных в 2021 году выборов в Государственную Думу р̲а̲с̲п̲у̲с̲т̲и̲т̲ь̲ п̲а̲р̲т̲и̲ю̲ ̲ч̲̲̲м̲̲̲о̲̲̲ш̲̲̲н̲̲̲и̲̲̲к̲̲̲о̲̲̲в̲̲̲ ""Единая Россия"". 
 
Причиной этому является п̲о̲с̲т̲о̲я̲н̲н̲о̲е̲ ̲з̲а̲м̲а̲л̲ч̲и̲в̲а̲н̲и̲е̲ ̲п̲р̲е̲с̲т̲у̲п̲л̲е̲н̲и̲й̲ ̲к̲о̲р̲р̲у̲п̲ц̲и̲о̲н̲н̲о̲г̲о̲ ̲х̲а̲р̲а̲к̲т̲е̲р̲а̲ ̲п̲р̲е̲д̲с̲т̲а̲в̲и̲т̲е̲л̲я̲м̲и̲ ̲р̲е̲г̲и̲о̲н̲а̲л̲ь̲н̲ы̲х̲ ̲и̲ ̲м̲е̲с̲т̲н̲ы̲х̲ ̲в̲л̲а̲с̲т̲е̲й̲.",1603894439,161405401,по многочисленным просьбам трудящихся — путин принял решение до назначенных в 2021 году выборов в государственную думу р̲а̲с̲п̲у̲с̲т̲и̲т̲ь̲ п̲а̲р̲т̲и̲ю̲ ̲ч̲̲̲м̲̲̲о̲̲̲ш̲̲̲н̲̲̲и̲̲̲к̲̲̲о̲̲̲в̲̲̲ единая россия    причиной этому является п̲о̲с̲т̲о̲я̲н̲н̲о̲е̲ ̲з̲а̲м̲а̲л̲ч̲и̲в̲а̲н̲и̲е̲ ̲п̲р̲е̲с̲т̲у̲п̲л̲е̲н̲и̲й̲ ̲к̲о̲р̲р̲у̲п̲ц̲и̲о̲н̲н̲о̲г̲о̲ ̲х̲а̲р̲а̲к̲т̲е̲р̲а̲ ̲п̲р̲е̲д̲с̲т̲а̲в̲и̲т̲е̲л̲я̲м̲и̲ ̲р̲е̲г̲и̲о̲н̲а̲л̲ь̲н̲ы̲х̲ ̲и̲ ̲м̲е̲с̲т̲н̲ы̲х̲ ̲в̲л̲а̲с̲т̲е̲й̲,0,-0.04391360282897949
1597508,"Давно пора для самого ЦБ РФ кроме инфляции ввести kpi типа рост капитализации национальных предприятий, рост индексов национальных бирж, рост ВВП,  рост рабочих мест....",1663564111,710313517,давно пора для самого цб рф кроме инфляции ввести kpi типа рост капитализации национальных предприятий рост индексов национальных бирж рост ввп  рост рабочих мест,0,-0.08175458759069443
1597508,"А до декабря ответственные страны не собираются закруглятся с конфликтом?
Тлеющая война никому не нужна.Новый год войной встречать нельзя.",1663564153,343807430,а до декабря ответственные страны не собираются закруглятся с конфликтом тлеющая война никому не нужнановый год войной встречать нельзя,0,-0.22766209300607443
1441861,Нравится не нравится терпи моя красавица ©,1650405738,499420819,нравится не нравится терпи моя красавица ©,0,0.995772760361433
1441861,"Просто на западе никто больше деньги 💰 держать не будет и так они убили свои резервные валюты.
Выстрелили себя в причём в обе ноги)",1650405984,104643028,просто на западе никто больше деньги 💰 держать не будет и так они убили свои резервные валюты выстрелили себя в причём в обе ноги,0,-0.6276632621884346
1441861,"Вы когда-нибудь представляли, к чему приведет и нас эта война? наша экономика падает, берегите свои деньги в бесплатном обучении биткойнам ... напишите мне и получите бесплатные лекции о биткойнах",1650406057,720669272,вы когданибудь представляли к чему приведет и нас эта война наша экономика падает берегите свои деньги в бесплатном обучении биткойнам  напишите мне и получите бесплатные лекции о биткойнах,0,-0.2992322873324156
1441861,"Трудно, это мягкосказаго. Роиси придётся на коленях все же постоять",1650406164,7358485,трудно это мягкосказаго роиси придётся на коленях все же постоять,0,-0.5209970250725746
1441861,Оочень просто. Перекрыть на неделю газ. Совсем. Не поняли? - на две недели. И дальше - пока не поймут.,1650406270,407890347,оочень просто перекрыть на неделю газ совсем не поняли  на две недели и дальше  пока не поймут,0,-0.3677109330892563
1441861,"У гайдаровцев шансов точно мало, ибо привыкли быть обслугой у западных партнёров. . А вот если этим займутся те, кто помнит, что Россия это великая страна а не дойная корова запада , то шансы резко возрастут. )",1650406334,30122036,у гайдаровцев шансов точно мало ибо привыкли быть обслугой у западных партнёров  а вот если этим займутся те кто помнит что россия это великая страна а не дойная корова запада  то шансы резко возрастут ,0,-0.25078808423131704
1441861,"А как додумались положить казну за бугор, а потом послать этот «бугор» нафиг?! 
Выглядит глуповато.",1650407539,1153981,а как додумались положить казну за бугор а потом послать этот «бугор» нафиг  выглядит глуповато,0,-0.17349586449563503
1441861,"конечно мало. удивительно, что до сих пор управленцы этого не понимают. нет мирового суда и справедливости, но, есть двойные стандарты и расовое превосходство в умах некоторых... а по сему надеятся нечего на справедливость  нужно спокойно доводить зачистку от укропов всей украины, а там, смотря как будет развиваться ситуация... потому как сша готовит на роль фашистов следующие страны - польшу, латвию и литву, а за ними и уничтожение всей европы, странно что европейцы еще это не поняли...",1650407888,548421487,конечно мало удивительно что до сих пор управленцы этого не понимают нет мирового суда и справедливости но есть двойные стандарты и расовое превосходство в умах некоторых а по сему надеятся нечего на справедливость  нужно спокойно доводить зачистку от укропов всей украины а там смотря как будет развиваться ситуация потому как сша готовит на роль фашистов следующие страны  польшу латвию и литву а за ними и уничтожение всей европы странно что европейцы еще это не поняли,0,-0.5746833831071854
1441861,Ближе к зиме рискуют заморозиться сами эти государства.,1650409436,2997219,ближе к зиме рискуют заморозиться сами эти государства,0,-0.31660325080156326
1441861,"Катька, или катько, что ж такое злющее существо, явилось в нашу сеть и смердит.     РУССКОГО ЧЕЛОВЕКА НА КОЛЕНИ НЕ ПОСТАВИТЬ. Главное сохранить население, а решение вопроса придёт в процессе.",1650410653,567202846,катька или катько что ж такое злющее существо явилось в нашу сеть и смердит     русского человека на колени не поставить главное сохранить население а решение вопроса придёт в процессе,0,-0.28349441662430763
1441861,Чем больше будут затягивать эту спецоперацию и оставят в живых руководство украины тем хуже будет для России,1650411524,708995911,чем больше будут затягивать эту спецоперацию и оставят в живых руководство украины тем хуже будет для россии,0,-0.5152937714010477
1441861,"Вот зачем держать свои деньги,золото у своих врагов???Строили бы на эти деньги дома,школы,д/сады,заводы,дороги,какая польза была бы для страны.Враги наши денежки прикарманят теперь.",1650416963,421258304,вот зачем держать свои деньгизолото у своих враговстроили бы на эти деньги домашколыдсадызаводыдорогикакая польза была бы для странывраги наши денежки прикарманят теперь,0,-0.5892198421061039
1441861,"Но возможно все же, так как законных оснований по их конфискации нет",1650420651,708146350,но возможно все же так как законных оснований по их конфискации нет,0,-0.18901872262358665
1441861,"А какой баран, если вы готовились как говорите к войне, туда их разместил? Свои то деньги наверное успела вывести?",1650423263,640994528,а какой баран если вы готовились как говорите к войне туда их разместил свои то деньги наверное успела вывести,0,-0.1900652153417468
1441861,"Никто ей ничего не отдаст . Нужно было вовремя меры принять , что бы такой ситуации не возникло . Что теперь после драки кулаками махать .",1650423635,617623156,никто ей ничего не отдаст  нужно было вовремя меры принять  что бы такой ситуации не возникло  что теперь после драки кулаками махать ,0,-0.29363981261849403
1441861,"Всё идёт по сценарию, кучка знатаков-аналитиков обсуждают мировые экономические процессы. Попытка создать идеологию провалилась, пипл уже не хватает, нужно придумать что-то новое, ждём, что нам Запад приготовит.",1650424389,478352557,всё идёт по сценарию кучка знатакованалитиков обсуждают мировые экономические процессы попытка создать идеологию провалилась пипл уже не хватает нужно придумать чтото новое ждём что нам запад приготовит,0,-0.39368410408496857
1441861,Хотели как лучше а получилось как всегда. Или в этом и была многоходовочка обокрасть Россию так чтобы никто не догадался - вывезти все своим хозяевам якобы на сохранение а потом охать,1650424940,559172566,хотели как лучше а получилось как всегда или в этом и была многоходовочка обокрасть россию так чтобы никто не догадался  вывезти все своим хозяевам якобы на сохранение а потом охать,0,-0.12724453210830688
1441861,"Рычаг на самом деле есть, но наши слишком честные, чтобы его использовать. И рычаг этот ГАЗ.",1650427490,93132262,рычаг на самом деле есть но наши слишком честные чтобы его использовать и рычаг этот газ,0,-0.22484576608985662
1441861,Очень жалею что УАЗИК И ЖИГУЛИ ПРОДАЛ!,1650428960,269778992,очень жалею что уазик и жигули продал,0,0.0451090931892395
1441861,"А говорили,что доллар это резаная бумага.Оказалось что не резаная бумага",1650430549,271147969,а говориличто доллар это резаная бумагаоказалось что не резаная бумага,0,-0.041733257472515106
1441861,"В суде решаются вопросы только с цивилизованными странами ,а с террористическими государствами как США только дубиной. Не возратят наше кровное- в труху. Не с теми связались. Нашли Банановые острова.",1650431776,589020069,в суде решаются вопросы только с цивилизованными странами а с террористическими государствами как сша только дубиной не возратят наше кровное в труху не с теми связались нашли банановые острова,0,-0.45134814642369747
1441861,"Маня, нас обокрали!!!",1650432396,645837071,маня нас обокрали,0,0.03366200625896454
1441861,И никто не расстрелян  и даже не сел...песня! Но мы вееерим...,1650432578,645837071,и никто не расстрелян  и даже не селпесня но мы вееерим,0,-0.2450307011604309
1441861,Не прячте ваши денежки по банкам и углам😄,1650434167,188418158,не прячте ваши денежки по банкам и углам😄,0,0.0020798202604055405
1441861,Самое главное - это то что те кто наложил это в других странах продолжают класть на страну на тех же должностях.,1650435637,710834865,самое главное  это то что те кто наложил это в других странах продолжают класть на страну на тех же должностях,0,-0.09093653783202171
1441861,Наебулина никчёмное животное,1650436690,855761,наебулина никчёмное животное,0,-0.11748435348272324
1441861,Америка наглая страна.....,1650438646,461553539,америка наглая страна,0,-0.10005432926118374
1441861,"а фсё, надо было раньше думать",1650441291,62269328,а фсё надо было раньше думать,0,-0.0441025854088366
1441861,Пусть эта дура тут не прикидывается....,1650445209,255081899,пусть эта дура тут не прикидывается,0,-0.7946378514170647
925776,"Банки рухнут-им п...а 
ну и рупель с ними 
как обычно как всегда 
мы живём в России🤣 
😡(на депозитах лежит более 38 трлн.рублей вот чуток ростовщики доработают до соотношения 1 к 2 условно до 38 и 19 можно обнуляться.Заёмщики так и остались в долгу ,но банкиры западлянским вернули долги,народ в очередной раз окуел...Но вновь начнётся экономический рост,обусловленный новым витком потребления на вновь раздаваемые кредиты...До следующего раза.Но это уже будет прорыв к 2036🤣🤣🤣)",1562592795,21904820,банки рухнутим па  ну и рупель с ними  как обычно как всегда  мы живём в россии🤣  😡на депозитах лежит более 38 трлнрублей вот чуток ростовщики доработают до соотношения 1 к 2 условно до 38 и 19 можно обнулятьсязаёмщики так и остались в долгу но банкиры западлянским вернули долгинарод в очередной раз окуелно вновь начнётся экономический ростобусловленный новым витком потребления на вновь раздаваемые кредитыдо следующего разано это уже будет прорыв к 2036🤣🤣🤣,0,-0.3302698880434036
925776,"Да поубивайте там уже друг друга, немощи, пока народ вас на вилах не вынес",1562592831,24297206,да поубивайте там уже друг друга немощи пока народ вас на вилах не вынес,0,-0.026644045487046242
925776,"Орешкин ,как всегда ,пургу несет. Смешной он парень.",1562592839,150648578,орешкин как всегда пургу несет смешной он парень,0,0.05155855417251587
925776,"А в России всегда так:когда рост цен доходит практически до потолка,буквально не давая уже торгашам получать хоть какую то прибыль(о благосостоянии и возможности элементарно кушать простых смертных здесь речи вообще не идёт)-инфляция снижается и Росстат преподносит это как хорошую новость.Может и правда хорошая.Не сдохли,ведь.Или сдохли,но не все.",1562594404,379622292,а в россии всегда таккогда рост цен доходит практически до потолкабуквально не давая уже торгашам получать хоть какую то прибыльо благосостоянии и возможности элементарно кушать простых смертных здесь речи вообще не идётинфляция снижается и росстат преподносит это как хорошую новостьможет и правда хорошаяне сдохливедьили сдохлино не все,0,-0.2540186792612076
925776,А толку. На бумаге только,1562594678,423800270,а толку на бумаге только,0,-0.06199176190420985
925776,"Не смешите народ. Что за странный показатель ""ваша инфляция""? Цены растут, а инфляция либо постоянна, либо, вот как сейчас, снизилась...Не раздражайте!!!",1562595786,61765703,не смешите народ что за странный показатель ваша инфляция цены растут а инфляция либо постоянна либо вот как сейчас снизиласьне раздражайте,0,-0.1935222428292036
925776,"Уважаемые читатели! 
 
Как стало известно, данные об уровне инфляции в июне были размещены раньше времени по вине одного из подведомственных учреждений Росстата, об этом сообщили в пресс-службе ведомства. 
 
""Росстат информирует о том, что публикация данных об уровне инфляции в июне ранее запланированного времени произошла по вине одного из подведомственных учреждений, направивших данные в Единую базу статистической информации (ЕБСД) до ее окончательного подтверждения"", - пояснили в пресс-службе. 
 
В Росстате планируют разработать регламент публикации данных, так как подобные сбои происходили и ранее. ""Это позволит снизить вероятность несанкционированного распространения информации и обеспечить ее полную верификацию. В настоящее время в Росстате начала действовать программа повышения внутренней эффективности, и улучшение процедуры публикации данных станет одним из важных шагов на этом пути"", - подчеркнули в пресс-службе.",1562598518,-73013298,уважаемые читатели    как стало известно данные об уровне инфляции в июне были размещены раньше времени по вине одного из подведомственных учреждений росстата об этом сообщили в прессслужбе ведомства    росстат информирует о том что публикация данных об уровне инфляции в июне ранее запланированного времени произошла по вине одного из подведомственных учреждений направивших данные в единую базу статистической информации ебсд до ее окончательного подтверждения  пояснили в прессслужбе    в росстате планируют разработать регламент публикации данных так как подобные сбои происходили и ранее это позволит снизить вероятность несанкционированного распространения информации и обеспечить ее полную верификацию в настоящее время в росстате начала действовать программа повышения внутренней эффективности и улучшение процедуры публикации данных станет одним из важных шагов на этом пути  подчеркнули в прессслужбе,0,-0.16700685024261475
925776,"Чего-чего снизилось? Бензин? Продукты? Может, в наш город никто не ездит? Приезжайте в Архангельск. Мы покажем в магазинах и на заправках, на сколько выросли цены с мая сего года.",1562611419,159448756,чегочего снизилось бензин продукты может в наш город никто не ездит приезжайте в архангельск мы покажем в магазинах и на заправках на сколько выросли цены с мая сего года,0,-0.13530150055885315
925776,Центробанк он где? На другой  планете?,1562682411,276844512,центробанк он где на другой  планете,0,-0.009125636497628875
1384537,"#StopWarInUkraine
10 марта разбомбили роддом в Мариуполе, поскольку русские пропагандисты решили влить в уши сограждан очередную порцию дерьма про огневые позиции...",1646864548,151208543,stopwarinukraine 10 марта разбомбили роддом в мариуполе поскольку русские пропагандисты решили влить в уши сограждан очередную порцию дерьма про огневые позиции,0,-0.38954684138298035
1122394,"Набиуллина не умеет в экономику, навряд ли снизит. Они не привыкли подстраиваться под реалии и принимать решения. #спасибопутинузаэто",1587616839,149078132,набиуллина не умеет в экономику навряд ли снизит они не привыкли подстраиваться под реалии и принимать решения спасибопутинузаэто,0,-0.3170158118009567
1122394,ничего нет! никакой поддержки! не киздиде.,1587617020,280444640,ничего нет никакой поддержки не киздиде,0,-0.6847924888134003
1122394,🤣😂🤣😂,1587618613,73840862,🤣😂🤣😂,0,0.0
1122394,"Возьмите кредит, отдайте эти деньги людям просто так, как отпускные, при этом налоги с этого обязаны перечислить в бюджеты, через которые снабжается наше правительство. А чем и какими последними портянками будет рассчитываться бизнес с банками ? Даже при малых % убытки могут быть такими, что бизнес умрет сразу и никаких полгода не сможет ждать, пока вернутся покупатели",1587624995,343872157,возьмите кредит отдайте эти деньги людям просто так как отпускные при этом налоги с этого обязаны перечислить в бюджеты через которые снабжается наше правительство а чем и какими последними портянками будет рассчитываться бизнес с банками  даже при малых  убытки могут быть такими что бизнес умрет сразу и никаких полгода не сможет ждать пока вернутся покупатели,0,-0.2791033536195755
1122394,Надо ЧС объявлять и поправки обратно затолкать,1587625330,31813275,надо чс объявлять и поправки обратно затолкать,0,-0.3449829891324043
1122394,"хорошему человеку и так дадут, а нехорошему могут и за деньги не продать",1587649061,108555361,хорошему человеку и так дадут а нехорошему могут и за деньги не продать,0,0.0169285386800766
1122394,"ХВАТИТ ВРАТЬ!
Ведомости, вы понимаете, что вы скоро хуже всех станете?
У меня несколько кредитов. И ни по одному из них я не могу получить никаких отсрочек, никаких каникул, никакой реструктуризации",1587680980,159448756,хватит врать ведомости вы понимаете что вы скоро хуже всех станете у меня несколько кредитов и ни по одному из них я не могу получить никаких отсрочек никаких каникул никакой реструктуризации,0,-0.6397712230682373
1867905,"И......? Смысл? Нужно принять закон что валюту должны продавать экспортеры в размере 100 %, ибо это деньги , которые заработал народ....А не 10 дней, а потом опять ж...па",1693985929,650939240,и смысл нужно принять закон что валюту должны продавать экспортеры в размере 100  ибо это деньги  которые заработал народа не 10 дней а потом опять жпа,0,-0.3224584832787514
1122447,Почему нет карты Мир в сша и европе? А Виза в России есть,1587621924,58293669,почему нет карты мир в сша и европе а виза в россии есть,0,-0.5030566588975489
1122447,"Гендиректору visa живЁтся лайтово, любой россиянин понимает, что с этой системой он может купить любой товар на планете и никто насильно не подсаживает, как на МИР пенсов и бюджетников, что бы поддержать аппетиты 3% населения России.
VISA-элемент развитого и прогрессивного мира, а МИР-принудительно добровольная часть авторитарной системы с псевдо свободами начиная от конституционных и кончая рыночными.",1587630588,3224865,гендиректору visa живётся лайтово любой россиянин понимает что с этой системой он может купить любой товар на планете и никто насильно не подсаживает как на мир пенсов и бюджетников что бы поддержать аппетиты 3 населения россии visaэлемент развитого и прогрессивного мира а мирпринудительно добровольная часть авторитарной системы с псевдо свободами начиная от конституционных и кончая рыночными,0,-0.076228067278862
1122447,"МОШЕННИЧЕСТВО в банке КБ ""РЕНЕСАНС КРЕДИТ"" ООО. 
 В БАНКЕ МОШЕННИЧЕСТВО. 
МОИ ПЕРСОНАЛЬНЫЕ ДАННЫЕ ИСПОЛЬЗОВАНЫ ДЛЯ ОФОРМЛЕНИЯ КРЕДИТА! 
КТО ПЕРСОНАЛЬНО ОФОРМЛЯЛ, БАНК НЕ ХОЧЕТ РАЗБИРАТЬСЯ. 
Просят через всю Москву приехать в офис, чтоб заражаться короной. 
ЭЛ. ПОЧТА НЕ РАБОТАЕТ, МОИ ЗАЯВЛЕНИЯ ТРЕБУЮТ НАПИСАТЬ ПО ФОРМЕ. Терзают меня звонками, письмами несколько месяцев, чтоб я погасила оставшуюся сумму.... НО кто-то же ежемесячно ПЕРЕЧИСЛЯЛ???? 
 Звонила в банк несколько раз, подтверждали, что НЕТ никакого кредита … Только в последний раз НАШЛИ! 
КАК ЛЮБИТЬ ТАКОЕ УПРАВЛЕНИЕ ГОСУДАРСТВОМ???? 
КАК НЕ ВОСТОРГАТЬСЯ ТАКИМИ КАДРАМИ??",1587631362,455921866,мошенничество в банке кб ренесанс кредит ооо   в банке мошенничество  мои персональные данные использованы для оформления кредита  кто персонально оформлял банк не хочет разбираться  просят через всю москву приехать в офис чтоб заражаться короной  эл почта не работает мои заявления требуют написать по форме терзают меня звонками письмами несколько месяцев чтоб я погасила оставшуюся сумму но ктото же ежемесячно перечислял   звонила в банк несколько раз подтверждали что нет никакого кредита … только в последний раз нашли  как любить такое управление государством  как не восторгаться такими кадрами,0,-0.24489647150039673
1122447,"да ладно ! представители Visa были на известном Ivent 201 ID2020 где за две недели до начала эпидемии в Китае проводили масштабные учения с симуляцией нового штама атипичной пневмании ! И о чудо ! Это был именно короновирус летучей мыши ! Так вот в числе прочих обсуждались и вопросы процессинга безналичных средств физических лиц. Так что когда этот человек говорит о кризисе который ""мало кто мог предвидеть"" прямо таки тянет допросить его с пристрастием - какие еще неприятности нас ждут. На месте наших властей я бы попросту отловил пару таких вот ""немногочисленных профессионалов"" и запытал бы до вскрытия глубинных пластов памяти с третьей подкорки.. А в анамнезе смерти можно вполне коректно написать - умер вследствие короновируса.",1587649425,441880549,да ладно  представители visa были на известном ivent 201 id2020 где за две недели до начала эпидемии в китае проводили масштабные учения с симуляцией нового штама атипичной пневмании  и о чудо  это был именно короновирус летучей мыши  так вот в числе прочих обсуждались и вопросы процессинга безналичных средств физических лиц так что когда этот человек говорит о кризисе который мало кто мог предвидеть прямо таки тянет допросить его с пристрастием  какие еще неприятности нас ждут на месте наших властей я бы попросту отловил пару таких вот немногочисленных профессионалов и запытал бы до вскрытия глубинных пластов памяти с третьей подкорки а в анамнезе смерти можно вполне коректно написать  умер вследствие короновируса,0,-0.09519223868846893
1122447,Нодовцам скинули денежек,1587659845,5587926,нодовцам скинули денежек,0,-0.10832702741026878
999567,"Вова новую схему придумал,как отжать у рязанских старушек,-сирийским детишкам.",1572087794,82853210,вова новую схему придумалкак отжать у рязанских старушексирийским детишкам,0,-0.12286834791302681
